name,x.mni,y.mni,z.mni,lobe,hemi,index,class
rG_Ins_lg_and_S_cent_ins,37.305,-4.064,-3.656,Insula,R,91,G
rG_insular_short,36.318,9.454,-2.202,Insula,R,92,G
rG_occipital_middle,40.033,-79.453,12.821,Occipital,R,93,G
rG_occipital_sup,18.948,-85.935,31.252,Occipital,R,94,G
rG_oc.temp_lat.fusifor,34.63,-52.534,-17.037,Occipital,R,95,G
rG_oc.temp_med.Lingual,12.425,-67.656,-4.46,Occipital,R,96,G
rG_oc.temp_med.Parahip,25.122,-16.652,-27.74,Temporal,R,97,G
rG_orbital,26.58,30.04,-17.02,Frontal,R,98,G
rG_parietal_sup,18.166,-53.808,60.08,Parietal,R,101,G
rG_pariet_inf.Angular,46.059,-60.622,39.301,Parietal,R,99,G
rG_pariet_inf.Supramar,56.53,-31.724,30.782,Parietal,R,100,G
rG_postcentral,45.826,-23.617,54.373,Parietal,R,102,G
rG_precentral,40.651,-8.156,53.418,Frontal,R,103,G
rG_precuneus,7.723,-59.505,46.822,Parietal,R,104,G
rG_rectus,6.54,33.631,-20.422,Frontal,R,105,G
rG_subcallosal,6.973,15.34,-11.926,Limbic,R,106,G
rG_temporal_inf,52.585,-34.688,-23.578,Temporal,R,111,G
rG_temporal_middle,59.788,-33.921,-12.556,Temporal,R,112,G
rG_temp_sup.G_T_transv,48.106,-19.114,5.111,Temporal,R,107,G
rG_temp_sup.Lateral,60.502,-12.851,-0.826,Temporal,R,108,G
rG_temp_sup.Plan_polar,40.349,3.752,-24.303,Temporal,R,109,G
rG_temp_sup.Plan_tempo,58.087,-34.708,15.135,Temporal,R,110,G
rLat_Fis.ant.Horizont,41.415,30.224,2.684,Frontal,R,113,S
rLat_Fis.ant.Vertical,45.448,21.327,9.036,Frontal,R,114,S
rLat_Fis.post,38.608,-28.952,19.349,Insula,R,115,S
rPole_occipital,17.394,-94.985,-3.658,Occipital,R,116,G
rPole_temporal,38.295,5.021,-36.584,Temporal,R,117,G
rS_calcarine,18.88,-62.432,5.357,Occipital,R,118,S
rS_central,35.89,-19.96,46.41,Frontal,R,119,S
rS_cingul.Marginalis,14.303,-37.59,45.995,Limbic,R,120,S
rS_circular_insula_ant,29.668,23.312,-7.027,Insula,R,121,S
rS_circular_insula_inf,41.392,-12.95,-7.87,Insula,R,122,S
rS_circular_insula_sup,34.968,5.708,11.641,Insula,R,123,S
rS_collat_transv_ant,41.753,-20.346,-24.345,Temporal,R,124,S
rS_collat_transv_post,25.687,-78.075,-8.216,Occipital,R,125,S
rS_front_inf,38.7,23.248,20.601,Frontal,R,126,S
rS_front_middle,28.296,40.93,22.288,Frontal,R,127,S
rS_front_sup,22.69,18.148,44.827,Frontal,R,128,S
rS_interm_prim.Jensen,47.946,-44.615,35.704,Parietal,R,129,S
rS_intrapariet_and_P_trans,30.463,-56.032,42.846,Parietal,R,130,S
rS_occipital_ant,42.996,-65.226,4.085,Occipital,R,133,S
rS_oc_middle_and_Lunatus,32.802,-82.079,6.453,Occipital,R,131,S
rS_oc_sup_and_transversal,27.821,-77.321,20.078,Occipital,R,132,S
rS_oc.temp_lat,43.127,-50.709,-13.523,Occipital,R,134,S
rS_oc.temp_med_and_Lingual,31.511,-46.227,-10.155,Occipital,R,135,S
rS_orbital.H_Shaped,24.293,35.417,-11.756,Frontal,R,138,S
rS_orbital_lateral,41.491,39.606,-1.682,Frontal,R,136,S
rS_orbital_med.olfact,13.776,22.903,-16.664,Frontal,R,137,S
rS_parieto_occipital,17.959,-65.668,24.804,Parietal,R,139,S
rS_pericallosal,7.329,-8.271,25.71,Limbic,R,140,S
rS_postcentral,36.512,-34.916,42.321,Parietal,R,141,S
rS_precentral.inf.part,42.614,4.307,27.246,Frontal,R,142,S
rS_precentral.sup.part,26.621,-8.68,51.56,Frontal,R,143,S
rS_suborbital,8.781,42.174,-14.271,Frontal,R,144,S
rS_subparietal,10.497,-50.187,36.502,Parietal,R,145,S
rS_temporal_inf,53.027,-39.85,-15.285,Temporal,R,146,S
rS_temporal_sup,48.138,-43.634,8.103,Temporal,R,147,S
rS_temporal_transverse,51.842,-22.388,4.422,Temporal,R,148,S
